"Any","Codi_ine_5_txt","Codi_ine_6_txt","NomMun","Comarca","AFT","Costa","Muntanya","Poblacio_padro","Superficie_ha","05_SU","05_perce_SU","05_SUC","05_perce_SUC","05_SNC","05_perce_SNC","05_SURB","05_perce_SUR","05_SUD","05_perce_SUD","05_SND","05_perce_SND","05_SNU","05_perce_SNU","06_Class_no_SNU","06_perce_Class_no_snu","07_densitat_pob_km2","08_densitat_pob_urba_Km2","09_Perce_SNC_SU","10_Perce_SUD_SU","11_Perce_SND_SU","012_Qual_SUC_AE","12_A1_SUC","12_A2_SUC","12_A3_SUC","13_Qual_SUC_R","13_R1_SUC","13_R2_SUC","13_R3_SUC","13_R4_SUC","13_R5_SUC","13_R6_SUC","14_Qual_SUC_Altres","14_M1_SUC","14_M2_SUC","14_M3_SUC","15_Qual_SUC_SISTEMES","15_SA_SUC","15_SC_SUC","15_SD_SUC","15_SE_SUC","15_SF_SUC","15_SH_SUC","15_SP_SUC","15_SS_SUC","15_ST_SUC","15_SV_SUC","15_SX0_SUC","15_SX1_SUC","15_SX2_SUC","16_QUAL_snu","16_N1_SNU","16_N2_SNU","16_N3_SNU","16_N4_SNU","17_Sol_resid_habt","18_Sol_AE_habt","19_Zverdes_habt","20_Equip_habt"
"2012","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.504","876,0516","236,2045","26,9624","231,0491","26,3739","5,1554","0,5885","70,4151","8,0378","70,4151","8,0378","0,0000","0,0000","569,4320","64,9998","306,6196","35,0002","2.097,5521","7.833,8881","2,1826","29,8111","0,0000","43,0538","36,0393","7,0145","0","88,6973","31,1185","3,3003","26,7022","16,2941","0,0000","11,2823","1,4837","0,4772","1,0065","0","93,2424","0,0000","1,4988","0,0930","17,4986","4,7542","0,0000","0,0000","0,8003","0,1427","18,9909","0,0000","22,0901","32,1281","434,5504","250,0402","151,7325","0,0000","32,7777","47,9341","23,2673","10,2631","9,4567"
"2013","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.429","876,0516","236,9230","27,0444","231,7676","26,4559","5,1554","0,5885","69,6574","7,9513","69,6574","7,9513","0,0000","0,0000","569,4712","65,0043","306,5804","34,9957","2.089,0504","7.778,4758","2,1760","29,4009","0,0000","44,5154","36,0393","8,4761","0","88,6973","31,1185","3,3003","26,7022","16,2941","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,4999","0,0000","1,4988","0,0930","16,2024","4,7542","0,0000","0,0000","0,2607","0,1427","19,2517","0,0000","22,0059","33,0447","434,5504","250,0402","151,7325","0,0000","32,7777","48,1292","24,1551","10,4464","8,7918"
"2014","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.417","876,0543","236,9238","27,0444","231,7683","26,4559","5,1555","0,5885","69,6576","7,9513","69,6576","7,9513","0,0000","0,0000","569,4729","65,0043","306,5814","34,9957","2.087,6901","7.773,3870","2,1760","29,4009","0,0000","44,5155","36,0394","8,4761","0","88,6975","31,1186","3,3003","26,7022","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5002","0,0000","1,4988","0,0930","16,2025","4,7542","0,0000","0,0000","0,2607","0,1427","19,2518","0,0000","22,0060","33,0448","434,5517","250,0410","151,7329","0,0000","32,7778","48,1607","24,1709","10,4533","8,7976"
"2015","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.371","876,0543","236,9238","27,0444","231,7683","26,4559","5,1555","0,5885","69,6576","7,9513","69,6576","7,9513","0,0000","0,0000","569,4729","65,0043","306,5814","34,9957","2.082,4757","7.753,9714","2,1760","29,4009","0,0000","44,5155","36,0394","8,4761","0","88,6975","31,1186","3,3003","26,7022","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5002","0,0000","1,4988","0,0930","16,2025","4,7542","0,0000","0,0000","0,2607","0,1427","19,2518","0,0000","22,0060","33,0448","434,5517","250,0410","151,7329","0,0000","32,7778","48,2813","24,2314","10,4794","8,8196"
"2016","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.295","876,0543","236,9516","27,0476","231,7961","26,4591","5,1555","0,5885","69,3257","7,9134","69,3257","7,9134","0,0000","0,0000","569,7771","65,0390","306,2772","34,9610","2.073,8606","7.720,9875","2,1757","29,2573","0,0000","44,5155","36,0394","8,4761","0","88,7124","31,1186","3,3003","26,7171","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5132","0,0000","1,4988","0,0930","16,2038","4,7542","0,0000","0,0000","0,2607","0,1427","19,2623","0,0000","22,0060","33,0459","434,5517","250,0410","151,7329","0,0000","32,7778","48,4900","24,3321","10,5287","8,8569"
"2017","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.345","876,0543","236,9516","27,0476","231,7961","26,4591","5,1555","0,5885","69,3257","7,9134","69,3257","7,9134","0,0000","0,0000","569,7771","65,0390","306,2772","34,9610","2.079,5284","7.742,0889","2,1757","29,2573","0,0000","44,5155","36,0394","8,4761","0","88,7124","31,1186","3,3003","26,7171","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5132","0,0000","1,4988","0,0930","16,2038","4,7542","0,0000","0,0000","0,2607","0,1427","19,2623","0,0000","22,0060","33,0459","434,5517","250,0410","151,7329","0,0000","32,7778","48,3578","24,2658","10,5000","8,8328"
"2018","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.439","876,0543","236,9516","27,0476","231,7961","26,4591","5,1555","0,5885","69,3257","7,9134","69,3257","7,9134","0,0000","0,0000","569,7771","65,0390","306,2772","34,9610","2.090,1839","7.781,7594","2,1757","29,2573","0,0000","44,5155","36,0394","8,4761","0","88,7124","31,1186","3,3003","26,7171","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5132","0,0000","1,4988","0,0930","16,2038","4,7542","0,0000","0,0000","0,2607","0,1427","19,2623","0,0000","22,0060","33,0459","434,5517","250,0410","151,7329","0,0000","32,7778","48,1113","24,1421","10,4465","8,7878"
"2019","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.579","876,0543","236,9516","27,0476","231,7961","26,4591","5,1555","0,5885","69,3257","7,9134","69,3257","7,9134","0,0000","0,0000","569,7771","65,0390","306,2772","34,9610","2.106,0539","7.840,8432","2,1757","29,2573","0,0000","44,5155","36,0394","8,4761","0","88,7124","31,1186","3,3003","26,7171","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5132","0,0000","1,4988","0,0930","16,2038","4,7542","0,0000","0,0000","0,2607","0,1427","19,2623","0,0000","22,0060","33,0459","434,5517","250,0410","151,7329","0,0000","32,7778","47,7487","23,9601","10,3678","8,7216"
"2020","08110","081108","Malgrat de Mar","Maresme","MB","1",,"18.772","876,0543","236,9516","27,0476","231,7961","26,4591","5,1555","0,5885","69,3257","7,9134","69,3257","7,9134","0,0000","0,0000","569,7771","65,0390","306,2772","34,9610","2.127,9317","7.922,2945","2,1757","29,2573","0,0000","44,5155","36,0394","8,4761","0","88,7081","31,1143","3,3003","26,7171","16,2942","0,0000","11,2823","1,4837","0,4772","1,0065","0","92,5174","0,0000","1,4988","0,0930","16,1947","4,7542","0,0000","0,0000","0,2607","0,1427","19,2817","0,0000","22,0028","33,0431","434,5517","250,0410","151,7329","0,0000","32,7778","47,2556","23,7138","10,2715","8,6271"
"2022","08110","081108","Malgrat de Mar","Maresme","MB","1",,"19.093","877,0808","236,9645","27,0174","231,8090","26,4296","5,1555","0,5878","69,1005","7,8785","69,1005","7,8785","0,0000","0,0000","571,0159","65,1041","306,0649","34,8959","2.164,3192","8.057,3263","2,1756","29,1607","0,0000","44,6143","36,0110","8,6034","0","88,6750","31,0898","3,2977","26,6960","16,3181","0,0000","11,2734","1,4825","0,4768","1,0057","0","92,2782","0,0000","1,4768","0,0929","16,1820","4,7590","0,0000","0,0000","0,2605","0,1426","19,2658","0,0000","21,7825","33,0752","426,8800","249,7511","9,0700","135,4725","32,5864","46,4437","23,3668","10,0905","8,4753"
